BS8-001,Licorice Cookie,甘草餅乾
BS8-116,Milk Cookie,牛奶餅乾
BS8-117,Healer Cookie 1,治癒師餅乾1
BS8-118,Healer Cookie 2,治癒師餅乾2
BS8-119,Crunchy Chip Cookie,巧克力脆片餅乾
BS8-120,Caramel Arrow Cookie,黑糖餅乾
BS8-121,Black Concoction,黑色湯藥
BS8-122,Milk Cart,香醇牛奶補給車
BS8-123,Dark Resolution,黑色決心
BS8-124,Glorious Return,榮耀歸來
BS8-125,The Days of Resolution and Dignity,決心和風範兼具的時代
