// Cookies

Abalone Cookie,鮑魚餅乾
Chamomile Cookie,洋甘菊餅乾
Charcoal Cookie,木炭餅乾
Cheerleader Cookie,啦啦隊餅乾
Cheesecake Cookie,起司蛋糕餅乾
Cherry Ball Cookie,山櫻桃餅乾
Cherry Blossom Cookie,櫻花餅乾
Cherry Cola Cookie,櫻桃可樂餅乾
Cherry Cookie,櫻桃餅乾
Chess Choco Cookie,西洋棋巧克力餅乾
Chess Piece GingerBrave,
Chess Piece Strawberry Cookie,
Chess Piece Wizard Cookie,
Chestnut Cookie,栗子餅乾
Chili Pepper Cookie,甜辣醬餅乾
Chili Pepper Cookie,辣椒餅乾
Chives Dumpling King,韭菜餃天王
Choco Ball Cookie,足球巧克力餅乾
Choco Bar Cookie,巧克力棒餅乾
Choco Cake Hound,巧克力蛋糕犬
Choco Cup Cookie,巧克力杯子蛋糕餅乾
Choco Drizzle Cookie,巧克力淋醬餅乾
Chocolate Bonbon Cookie,巧克力球餅乾
Churro Cookie,吉拿棒餅乾
Cilantro Cobra Cookie,香菜蛇餅乾
Cilantro Cobra Fighter,香菜蛇武鬥家
Cilantro Cobra Swordsman,香菜蛇劍兵
Cinnamon Cookie,肉桂餅乾
Citrus Parfaedia Student,清爽水果帕菲迪亞學生
Clotted Cream Cookie,濃縮奶油餅乾
Cloud Deity Cookie,雲神餅乾
Cloud Haetae Cookie,白雲靈獸餅乾
Clover Cookie,幸運草餅乾
Clown Faerie Cookie 1,
Clown Faerie Cookie 2,
Clown Faerie Cookie 3,
Cocoa Cookie,可可餅乾
Coffee Candy Cookie,咖啡糖餅乾
Coffee Cookie,咖啡餅乾
Cookiemals,動物餅乾
Cotton Candy Cookie,棉花糖餅乾
Cotton Cookie,棉花餅乾
Cranberry Cookie,蔓越莓餅乾
Cream Ferret Cookie,鮮奶油貂餅乾
Cream Puff Cookie,奶油泡芙餅乾
Cream Soda Cookie,奶油蘇打餅乾
Cream Unicorn Cookie,奶油獨角獸
Cream Unicorn Cookie,奶油獨角獸餅乾
Crimson Coral Cookie,緋紅珊瑚餅乾
Croissant Cookie,可頌麵包餅乾
Crowberry Cookie,烏莓餅乾
Crunchy Chip Cookie,巧克力脆片餅乾
Crushed Pepper Cookie,辣椒碎片餅乾
Crème Brûlée Cookie, 焦糖烤布蕾餅乾
Crème Brûlée Cookie,焦糖烤布蕾餅乾
Crème Knights Preceptor,鮮奶油騎士校長
Cucumber Cookie,小黃瓜餅乾
Currant Cream Cookie,黑醋栗奶油餅乾
Custard Cookie III,卡士達三世餅乾
Custard Cookie,卡士達餅乾
Cyborg Cookie,賽伯格餅乾
DJ Cookie,DJ餅乾
DJ Miya,DJ Miya
Dark Cacao Adviser 1,黑可可軍師餅乾1
Dark Cacao Adviser 2,黑可可軍師餅乾2
Dark Cacao Cookie,黑可可餅乾
Dark Choco Cookie,黑巧克力餅乾
Dark Fondue Cookie,黑巧克力醬餅乾
Devil Cookie,惡魔餅乾
Dino-Sour Cookie,恐龍餅乾
Dr. Wasabi Cookie,芥末博士餅乾
Dreamcatcher,星光捕夢網
Dreamweaver Cookie,引夢者餅乾
Dumpling Cake Hound,肉包蛋糕犬
Durian Cookie,榴槤餅乾
Earl Grey Cookie,伯爵茶餅乾
Eclair Cookie,閃電泡芙餅乾
Eggnog Cookie,甜蛋飲餅乾
Elder Faerie Cookie,妖精王餅乾
Elder Kulfi,庫爾菲猴餅乾
Espresso Cookie,濃縮咖啡餅乾
Eternal Sugar Cookie,永恆糖餅乾
Everything Pie Cookie,雜燴烤派餅乾
Faerie Cookie 1,
Faerie Cookie 2,
Faerie Cookie 3,
Fairy Cookie,妖精餅乾
Fettuccine Cake Hound,義大利寬麵蛋糕犬
Fettuccine Cookie,義大利寬麵餅乾
Fig Cookie,無花果餅乾
Financier Cookie,費南雪餅乾
Fire Spirit Cookie,火精靈餅乾
Firecracker Cookie,彩花炮餅乾
Flaming Hot Wing,燃燒的麻辣雞
Flat Tofu Cookie,豆皮餅乾
Flavorless Cookie,沒有味道的餅乾
Fortune Teller Cookie,
Frilled Jellyfish Cookie,蕾絲水母餅乾
Frost Queen Cookie,冰霜女王餅乾
Frostrock Cookie,冰岩餅乾
Gelato Trio Cookie,三色冰淇淋餅乾
General Jujube Cookie,紅棗餅乾
Gim Cookie,海苔餅乾
GingerBrave & Mumu,勇敢餅乾&MOOMOOSSI
GingerBrave,勇敢餅乾
GingerBright,活潑餅乾
Ginseng Cookie,人參餅乾
Goblin Cookie,哥布林餅乾
Gold Citrine Cookie,金黃水晶餅乾
Golden Cheese Cookie,黃金起司餅乾
Golden Osmanthus Cookie,金桂餅乾
Grand Champion Cup,Grand Champion Cup
Grand Madeleine Cookie,大瑪德蓮餅乾
Grandberry Merchant,
Grapefruit Cookie,葡萄柚餅乾
Green Tea Mousse Cookie,綠茶慕斯餅乾
Greenbell Cookie,白玉草餅乾
Gumball Cookie,泡泡糖餅乾
Habanero Cookie,哈瓦那辣椒餅乾
Half-Avocado Cookie,半顆酪梨餅乾
Healer Cookie 1,治癒師餅乾1
Healer Cookie 2,治癒師餅乾2
Herb Cookie,藥草餅乾
Hero Cookie,英雄餅乾
High Priest Cheesenbird,神官起司球鳥
Hollyberry Cookie,聖莓果餅乾
Honorable Paladin Trainee,孤傲的見習騎士
Hot Scovillia Student,熱血的史高維爾利亞學生
Hydrangea Cookie,繡球花餅乾
Ice Candy Cookie,涼糖餅乾
Ice Juggler Cookie,彩球冰淇淋餅乾
Ice Mint Cookie,冰薄荷餅乾
Icicle Yeti Cookie,冰錐雪怪餅乾
Ion Cookie Robot,離子餅乾機器人
Jagae Cookie,彩貝餅乾
Jalapeño Cookie,哈拉帕辣椒餅乾
Jelly Cup Cookie,蒟蒻凍餅乾
Jelly Froggy,果凍蛙
Jungleberry Cookie,叢林莓果餅乾
Kiwi Cookie,奇異果餅乾
Knight Cookie,勇士餅乾
Kohlrabi Cookie,紫玉甘藍餅乾
Kouign-Amann Cookie,法式焦糖奶油酥餅乾
Kumiho Cookie,妖狐餅乾
Langue de Chat Cookie,蘭朵夏餅乾
Lassi Guard Kulfi,拉西守護者庫爾菲猴
Latte Cookie,拿鐵餅乾
Laurel Cookie,月桂樹餅乾
Leek Cookie,大蔥餅乾
Lemon Cookie,檸檬餅乾
Lemon Thyme Cookie,檸檬百里香餅乾
Lemon Zest Cookie,檸檬皮餅乾
Licorice Cookie,甘草餅乾
Lil Pepper Cookie,小辣椒餅乾
Lilac Cookie,紫丁香餅乾
Lilybell Cookie,芝草餅乾
Lime Cookie,萊姆餅乾
Linzer Cookie,果醬夾心餅乾
Lobster Cookie,龍蝦餅乾
Lollipop Cookie,棒棒糖餅乾
Longan Dragon Cookie,龍眼龍族餅乾
Lord Oyster,牡蠣爵士
Lotus Dragon Cookie,百蓮龍族餅乾
Lotus Root Cookie,蓮藕餅乾
Lychee Dragon Cookie,荔枝龍族餅乾
Macaron Cookie,馬卡龍餅乾
Madeleine Cookie,瑪德蓮餅乾
Mala Sauce Cookie,麻辣餅乾
Manager Cheesebird,副手起司球鳥
Mango Cookie,芒果餅乾
Mango Tribe Chieftain,芒果族長餅乾
Mangosteen Cookie,山竹餅乾
Manju Cookie,甜饅頭餅乾
Maple Taffy Cookie,楓糖太妃糖餅乾
Marble Bread Cookie,大理石吐司餅乾
Marble Danish Cookie,大理石酥皮麵包餅乾
Marbleberry Cookie,大理石漿果餅乾
Marshmallow Cookie,棉花軟糖餅乾
Marzipan Cookie 2,扁桃仁膏餅乾2
Marzipan Cookie 3,扁桃仁膏餅乾3
Marzipan Cookie 4,扁桃仁膏餅乾4
Marzipan Cookie,扁桃仁膏餅乾
Matcha Cookie,抹茶餅乾
Meat Dumpling King,小籠包天王
Melon Bun Cookie,哈密瓜麵包餅乾
Melted Choco Cookie,熔岩巧克力餅乾
Mercurial Knight Cookie,水銀騎士餅乾
Milk Cookie,牛奶餅乾
Milky Way Cookie,銀河餅乾
Millennial Jade Deer,翠玉千年鹿
Millennial Tree Cookie,千年古樹餅乾
Miner Cheesebird,礦工起司球鳥
Mint Choco Cookie,薄荷巧克力餅乾
Mint Wafer Cookie,薄荷夾心酥餅乾
Mocha Ray Cookie,摩卡魟魚餅乾
Moon Rabbit Cookie,月兔餅乾
Moonlight Cookie,月光魔法師餅乾
Mozzarella Cookie,莫札瑞拉起司餅乾
Muscle Cookie,肌肉餅乾
Mustard Cookie,黃芥末餅乾
Mystic Flour Cookie,幻彩麵粉餅乾
Mystic Opal Cookie,幻彩歐珀餅乾
Ninja Cookie,忍者餅乾
Nosy Wizard,
Nougat Cookie,牛軋糖餅乾
Nutmeg Tiger Cookie,肉蔻虎餅乾
Okchun Cookie,玉春糖餅乾
Old Milk Villager Cookie,牛奶村的年長餅乾
Olive Cookie,橄欖餅乾
Onion Cookie,洋蔥餅乾
Onyx Cream Cookie,黑奶油餅乾
Orange Cookie,柳橙餅乾
Oyster Cookie,牡蠣餅乾
Pancake Cookie,鬆餅餅乾
Parfaedia Principal,帕菲迪亞校長
Parfait Cookie,帕菲餅乾
Pastel Meringue Cookie,粉彩蛋白霜餅乾
Pastry Cookie,千層酥餅乾
Pavlova Cookie,帕夫洛娃蛋糕餅乾
Peach Blossom Cookie,桃花餅乾
Peach Cookie,桃子餅乾
Peak of Apathy,虛無吞噬的幻山
Peeled Carrot Cookie,去皮胡蘿蔔餅乾
Peperoncino Cookie,乾辣椒餅乾
Pepper Pangolin Cookie,胡椒穿山甲餅乾
Peppercorn Cookie,胡椒餅乾
Peppermint Cookie,薄荷糖餅乾
Peppernut Cookie,胡椒雪球餅乾
Picky Pyro-tiger,烈火虎
Pilot Cookie,飛行員餅乾
Pinecone Cookie,松果餅乾
Pink Choco Cookie,粉紅巧克力餅乾
Pirate Cookie,海盜餅乾
Pistachio Cookie,開心果餅乾
Pitaya Dragon Cookie,火龍果龍族餅乾
Pizza Cookie,披薩餅乾
Plain Yogurt Cookie,原味優格餅乾
Plantain Cookie,大蕉餅乾
Plum Cookie,李子餅乾
Poison Mushroom Cookie,毒蘑菇餅乾
Pomegranate Cake Hound,石榴蛋糕犬
Pomegranate Cake Shaman,石榴蛋糕巫師
Pomegranate Cookie,石榴餅乾
Pond Dino Cookie,勿忘草恐龍餅乾
Popcorn Cookie,爆米花餅乾
Popping Candy Cookie,跳跳糖餅乾
Potato Cookie,馬鈴薯餅乾
Princess Cookie,公主餅乾
Prophet Cookie,預言家餅乾
Prune Juice Cookie,黑棗汁餅乾
Pudding Cookie,布丁餅乾
Pudding à la Mode Cookie,布丁百匯餅乾
Pumpkin Cookie,南瓜餅乾
Pumpkin Pie Cookie,南瓜派餅乾
Pure Vanilla Cookie,純香草餅乾
Purple Yam Cookie,紫心薯餅乾
Radish Cookie,紅玉蘿蔔餅乾
Rain Deity Cookie,雨神餅乾
Rainbow Sherbet Cookie,彩虹雪酪餅乾
Rambutan Cookie,紅毛丹餅乾
Raspberry Cookie,覆盆莓餅乾
Raspberry Mousse Cookie,覆盆莓慕斯餅乾
Rebel Cookie,義賊餅乾
Red Bean Cookie,紅豆餅乾
Red Osmanthus Cookie,丹桂餅乾
Red Panna Cotta Cookie,赤紅奶凍餅乾
Red Pepper Cookie,紅辣椒餅乾
Red Velvet Cookie,紅絲絨蛋糕餅乾
Ring Candy Cookie,鑽石糖餅乾
Rockstar Cookie,搖滾巨星餅乾
Roguefort Cookie,怪盜餅乾
Roll Cake Cookie,蛋糕捲餅乾
Rose Cookie,玫瑰餅乾
Rosemary Cookie,迷迭香餅乾
Royal Berry Cookie,皇家莓果餅乾
Royal Margarine Cookie,皇家人造奶油餅乾
Rye Cookie,黑麥餅乾
S'more Cookie,棉花糖脆餅餅乾
Sachertorte Cookie,薩赫蛋糕餅乾
Saffron Buffalo Shaman,番紅花水牛巫師
Salt Cellar Cookie,鹽罐餅乾
Salt Cookie,玫瑰鹽餅乾
Sandwich Cookie,三明治餅乾
Sauna Egg Cookie,烤雞蛋餅乾
Schneeball Cookie,糖霜雪球餅乾
Schwarzwälder,查爾斯
Scorpion Cookie,蠍子餅乾
Scovillia Headmaster,史高維爾利亞校長
Scovillia Student Fan,受人尊崇的史高維爾利亞學生
Sea Fairy Cookie,海妖精餅乾
Seaweed Cookie,海帶餅乾
Serious Paladin Trainee,認真的實習騎士
Shadow Milk Cookie,黑影牛奶餅乾
Shelly,起司漢堡龜
Sherbet Cookie,雪酪餅乾
Shine Muscat Cookie,陽光麝香葡萄餅乾
Shining Glitter Cookie,閃耀之星餅乾
Shrimp Dumpling King,蝦燒賣天王
Silent Salt Cookie,寧靜鹽餅乾
Silver Tree Knight Cookie,
Silverbell Cookie,風鈴草餅乾
Skater Cookie,滑板族餅乾
Skating Queen Cookie,溜冰女王餅乾
Smoked Cheese Cookie,煙燻起司餅乾
Snake Fruit Cookie,蛇皮果餅乾
Snapdragon Cookie,花小龍餅乾
Snow Crystal Cookie,冰晶餅乾
Snow Sugar Cookie,粉雪餅乾
Snowflake Cookie,雪花餅乾
Soda Cookie,汽水餅乾
Sorbet Shark Cookie,雪酪鯊魚餅乾
Sour Belt Cookie,霓虹軟糖餅乾
Space Doughnut,宇宙甜甜圈
Sparkling Cookie,氣泡飲餅乾
Spectral Warmaster,怨靈指揮官
Spicy Dumpling King,辣籠包天王
Spicy Scovillia Student,辣呼呼的史高維爾利亞學生
Spinach Cookie,菠菜餅乾
Squid Ink Cookie,墨魚餅乾
Star Coral Cookie,星珊瑚餅乾
Starch Noodle Cookie,圓粉條餅乾
Stardust Cookie,星塵餅乾
Starfruit Cookie,楊桃餅乾
Sting Durian Cookie,尖刺榴槤餅乾
Stollen Cookie,史多倫麵包餅乾
Stormbringer Cookie,雷神武將餅乾
Strawberry Cookie,草莓餅乾
Strawberry Cream Cookie,草莓鮮奶油餅乾
Strawberry Crepe Cookie,草莓可麗餅餅乾
Strawberry Shortcake Cookie,草莓奶油蛋糕餅乾
Strawberry Stick Cookie,草莓巧克力棒餅乾
Street Urchin Cookie,海膽餅乾
String Gummy Cookie,筆管軟糖餅乾
Sugar Glass Cookie,糖玻璃餅乾
Sugar Globe Cookie,雪花糖球餅乾
Sugar Gnome,糖糖地精
Sugar Swan Cookie,白糖天鵝餅乾
Sugarfly Cookie,糖蝶餅乾
TBD Delivery Cookie,時間管理局快遞員餅乾
TBD Mender Cookie,時間管理局技師餅乾
TBD Office Clerk Cookie,時間管理局職員餅乾
Tangerine Tanghulu Cookie,橘子糖葫蘆餅乾
Tarte Tatin Cookie,反烤蘋果塔餅乾
Taurus Cookie,金牛座餅乾
Tea Knight Cookie,錫蘭騎士餅乾
Tiger Lily Cookie,叢林戰士餅乾
Timekeeper Cookie,超時空餅乾
Tiny Cake Hound,小小蛋糕犬
Tiramisu Cookie,提拉米蘇餅乾
Toothpaste Cookie,巧克力牙膏餅乾
Towerkeeper Cookie,
Tropical Pop Cake Hound,熱帶蛋糕犬
Truffle Cookie,松露餅乾
Truthless Recluse,
Twisted Donut Cookie,麻花捲餅乾
Twizzly Gummy Cookie,扭扭糖餅乾
Overjoyed Cookie,
Vagabond Cookie,梅雀果餅乾
Vampire Cookie,吸血鬼餅乾
Vanilla Sugar Cookie,香草糖餅乾
Walnut Cookie,核桃餅乾
Warden of the Heart,心臟門衛
Wave Drop,海浪滴露
Werewolf Cookie,狼人餅乾
Whipped Cream Cookie,鮮奶油餅乾
White Choco Cookie,白巧克力餅乾
White Ghost Cookie,白帝錦餅乾
White Lily Cookie,聖百合餅乾
White Peach Cookie,白桃餅乾
White Pearl Cookie,白珍珠餅乾
Wild Strawberry Cookie,野草莓餅乾
Wildberry Cookie,野莓餅乾
Will of Nature,大自然的意念
Wind Archer Cookie,風箭手餅乾
Wind Deity Cookie,風神餅乾
Windcatcher,風車小草
Witchberry Cookie,小巫莓餅乾
Wizard Cookie,魔法師餅乾
Yeast Spore,
Yoga Cookie,瑜珈餅乾
Yogurt Cream Cookie,優格鮮奶油餅乾
Young Kulfi,小庫爾菲猴
Young Milk Villager Cookie,牛奶村的年輕餅乾
Young Shepherd Cookie,
Yugwa Cookie,米油果餅乾
Zombie Cookie,殭屍餅乾

// Non-cookies

Giant Cherry Bomb,巨型櫻桃炸彈
Spicy Power Juice,辣味能量果汁
Pasta Spring Shoes,義大利麵彈簧鞋
Pineapple Helmet,鳳梨頭盔
Desert Oasis,沙漠綠洲
Jelly Pom-Poms,捲尺糖彩球
Tropical Slushie,熱帶冰沙
Broken Signpost,壞掉的路牌
Super-Vita Jelly Bar,果凍能量棒
Star Candy Road,星星糖小徑
Ancient Forest Luckstone,遠古森林的封印石
Wanderer's Apple Pie,流浪者的蘋果派
Stinging Nettle,恐怖蕁麻葉
Tasty First Aid Kit,果醬派急救箱
Awakening Ancient Forest,重現生機的遠古森林
Prickly Cacti Gloves,刺刺仙人掌手套
Prickly Cactus Bat,刺刺仙人掌球棒
Wind-Up Pocket Watch,發條懷錶
Erratic Yakgwa Robot,暴走的藥果機器人
Carrot Jelly Stew,熱呼呼的紅蘿蔔果凍湯
Carrot Farm Scarecrow,蘿蔔田稻草人
Diving Goggles,潛水鏡
Jellied Jellyfish Potion,果凍水母藥水
Salt Crystal Trident,鹽晶體三叉戟
Hermit Crab's Shell,螺旋麵包寄居蟹的新居
Whipped Snowcream Village,鮮奶油雪村
Forbidden Incantation,禁忌魔咒
Dragon's Breath,龍之氣息
Yew Village Scroll,紅豆杉村移動卷軸
Abandoned Cloud Nest,空蕩的雲朵巢穴
Blue Dragon's Eye,青龍之眼
Mushroom Spore Punch,蘑菇孢子綜合果汁
Soul Jam: Light of Passion,靈魂果醬: 熱情之光
Miniature Dragon Boat,龍頭獨木舟模型
Oath on the Shield,盾之誓
Banquet of Victory,慶功宴
Passionate Hollyberry Kingdom,熱情浪漫的聖莓果王國
Dragon's Valley,龍之峽谷
Golden Cheese Guardian Golem,黃金起司守護者泥人
Soul Jam: Light of Abundance,靈魂果醬: 富饒之光
Cheesepad Tablet,起司石碑平板
Golden Monarch's Counterattack,至尊國君的反擊
Golden Cheese Colosseum,黃金樂園的競技場
Kingdom of Eternal Abundance,永遠富饒的黃金起司王國
Golden City's Control Chamber,黃金城市控制室
Soul Jam: Light of Freedom,靈魂果醬: 自由之光
Faerie Kingdom's Music,妖精王國樂譜
Elder Faerie's Sword,妖精王之劍
The New Guardian's Power,守護者傳承之力
Puppet Theater of Chaos,混沌的木偶劇
Ancient Silver Tree,古代的封印樹
Mystical Faerie Kingdom,銀白色的神祕妖精王國
Sword of Radiant Light,光之護佑佩劍
Soul Jam: Light of Truth,靈魂果醬: 真理之光
Old Vanilla Orchid Locket,古典香草花墜飾
Convocation of Elders,元老會議的決議
Radiant Coronation,榮耀的加冕儀式
Glorious Crème Republic,榮耀之光·鮮奶油共和國
Peaceful Vanilla Kingdom,祥和的香草王國
Bittersweet Incense,苦甜的香爐
Soul Jam: Light of Resolution,靈魂果醬: 決心之光
First Watcher's Bow,忠誠戰士的神弓箭
Chocolate Altar of the Fallen,紀念碑前的默哀
Founding Resolution,酷寒的決心
Roiling Licorice Sea,波濤洶湧的甘草海
Resolute Dark Cacao Kingdom,堅忍的黑可可王國
Age of Heroes and Kingdoms,英雄與王國的時代
Magma Pendulum,熔岩擺飾
Ring of Eternal Flame,火焰指環
Essence of Conflagration,火焰結晶
Battle on the Edge,懸崖對決
Scovillia Training Grounds,斯科維利亞訓練所
Essence of Rejuvenation,生命結晶
Millennial Twig,千年的老樹枝
Millennial Jade Deer,純正千年玉鹿
Heaven-Splitting Lightning,開天闢地的轟雷
Millennial Temple,千年樹神殿
Wind Gems,風之結晶
Swan Feather Dreamcatcher,天鵝羽捕夢網
Night Raven's Arrow,虛空之箭
Spring Festival,紀念春天的節慶
Dessert Paradise,甜點天堂
Heart of the Deep Sea,深海的傳說心臟
Tide Shards,浪之結晶
Weeping Cries of the Deep,迷霧中的泣聲
Mermaid's Tale,夢想的人魚海
Tower of Frozen Waves,冰浪之塔
Butterfly Brooch,摯友蝴蝶胸針
Moonlight Shards,月光結晶
Plasma Crystal Ball,紫光水晶球
Slumbering Moon's Invitation,沉睡的月神邀請
City of Wizards,魔法師之城
Cookies of Legend,傳奇餅乾們
Crimson Dragon Mask,怒角面具
Draconic Aura,龍之氣場
Pitaya Dragon Cookie's Nest,火龍果龍族餅乾的巢穴
Sniffly Cocoa Palm,哭哭椰子樹
Seasick Canoeing,暈船的獨木舟導覽
Ananas Dragon Cookie's Nest,鳳梨龍族餅乾的巢穴
Dragon Orb,龍眼寶珠
Petrification,被石化的餅乾們
Longan Palace,龍眼皇宮
Tales of the Lotus,水蓮花傳說
Dino Greetings,恐龍打招呼
Lotus Palace,百蓮城
Rambirdtan Handler Glove,馴鷹手套
Charmed Miners,被洗腦的勞動
Lychee Dragon Cookie's Cave,荔枝龍族餅乾的洞窟
Wrath of the Dragons,覺醒!龍之怒
Squishy Jelly Watch,果凍鐘錶
Tonic Spray,噴灑鎮定藥劑
TBD Hallway,時間管理局走廊
Hourglass of Aeternus Tempora,光陰沙漏
Clever Advice,巧妙的建議
Timecraft Garage,時光機維修站
Time Rend Scissors,時空混沌裁剪刀
Into a Time Pocket…,時間的坑洞
Broken Central Clock,壞掉的大時鐘
Time Manipulator,時間控制器
Destruction of a Pastless Future,棄息未來的毀滅
Messy TBD Director's Office,凌亂的時間管理局局室
Butterfly Key Relic,蝴蝶發條文物
Peak Engineer Performance,最厲害的技師
TBD Machine Room,時間管理局機房
Scovilsky Manuscript,史高維爾利斯基的秘笈
Labyrinth Golem Attack,壓制迷宮糖果泥人
Scovillia Quarters,史高維爾利亞宿舍
The Key to Unbreakable Faith,堅定不移的信念之鑰
Valiant Victor's Salvation,英勇勝者的救援
Crème Knights' Quarters,鮮奶油騎士宿舍
Grand Cookie Games Trophy,餅乾大戰水晶布丁獎盃
Cookie Windmill,餅乾大風車
Cookie Games Stadium,餅乾大站競技場
The Sunblade,太陽之劍
A Victory For You,為你奪得勝利
Temple of the Sun Central Arena,太陽神殿中央競技場
Golem Core,泥人的心臟
Securing the First Victory,奪下首勝
Parfaedia Quarters,帕菲迪亞宿舍
Arena of Glory,榮耀競技場
Soul Jam: Light of Destruction,靈魂果醬: 破壞之光
Cake Hound's Crown,蛋糕犬的王冠
Shadow of the Destroyer,毀滅將至
Land of Fire & Ruin,烈焰與破壞之地
Tower of Sweet Chaos,混沌的蛋糕塔
Surprise! Lassi Jar,驚喜的拉西罈
Puny Strength,微弱的力量
Kulfi Legends,庫爾菲猴的傳說
Simmering Lassi Springs,冒泡的拉西泉
City of Eternal Gold,永恆的黃金城市
Peach Baos,桃子餡饅頭
Soul Jam: Light of Apathy,靈魂果醬: 虛無之光
Noodle Cocoon,素麵繭
White Flour Fog,麵粉白霧
The Ivory Pagoda,白麵寺
Warm Wind Flower,溫暖的銀蓮花
Heartfelt Light,蘊含心意的燈光
Warmth of the Snowfield,雪原的溫暖
Frozen Mountain Depths,深邃雪山
Snowfall Lantern Tree,照亮雪原的燈火聖誕樹
Black Concoction,黑色湯藥
Milk Cart,香醇牛奶補給車
Dark Resolution,黑色決心
Glorious Return,榮耀歸來
The Days of Resolution and Dignity,決心和風範兼具的時代
Juicy Stamina Jellies,厚實體力果凍
Fateful Cookie Cutter,宿命餅乾模具
Stolen Light of Truth,
Paper Puppet Troupe,
Atelier of Lies,
Heart Stained With Lies,
Shadow Milk Cookie Doll,
Overtaken Other-Realm,
Fragmented Soul,
Yogurt River of Rebirth,
Meat Jelly,體力果凍
Concealer of Truth,
Radiant Light of Protection,
Broken Seal,
Puppet Theater Stage,
Storybook of Lies,
Light of Deceit,謊言之光
Soul Jam: Light of Deceit,靈魂果醬: 謊言之光
Reversed Prophecy,
Shadow Milk Cookie's Tarot Card,
Spire of Deceit,
Flipped Coin,
Wolf in Sheep's Clothing,
Light of False Truths,
Truth Tainted with Lies,
Endless Game of Chess,
Towards the Heart of Paradise,
Facing the Past,
Shattered Shield,
Luscious Garden Heart Berry,
Jam Jar Lid Shield,
Light of True Passion,激昂的熱情之光
Vibrant Hollyberry Palace,
Sugar Bowl Flower,
Passion Meets Sloth,
Inescapable Sweetness,
Sugar Paradise,
Mysterious Jewelry Box,
Cookie Stuck in Jam,
Soul Jam: Light of Sloth,靈魂果醬: 怠惰之光
Freedom Blooms Again,
Collapsing Floor,
Burning Dough,
Faerie Glass Coffin
Silverbell Stump,
Mossy Silver Bridge,
A Single Lily,
Sudden Weather Change,
Strange Sea Soda Islands,
Butterfly Lantern,
Something Horrifying,
Clashing Leaders,
HMS Custard III,
Kulfi Red Bean Delight,
