BS11-019,,,[Y][Y],,2,,<棄1張手牌> 以這張牌為HP卡的餅乾獲得HP+1點。
BS11-020,,,[Y][Y][Y],,3,,從牌庫抽最多1張牌。
BS11-021,,【啟動】 【1回合1次】 如果自己的戰鬥區有[魔法師餅乾]，則從自己的棄牌區將最多1個具有FLIP的餅乾移回手牌。,[Y][Y],,2,,
BS11-022,,,[W][W][W],,4,,
BS11-023,,,[W],,1,,
BS11-024,,當這個餅乾暈倒時，從自己的手牌將最多1個LV.3餅乾放置到戰鬥區。然後，它獲得HP+1點。,[Y][Y][Y],,2,,
BS11-025,,,[Y][Y],,3,然後，從牌庫抽最多2張牌，並將這個餅乾放置到自己的休息區。,
BS11-026,,【啟動】 【1回合1次】 <[Y]> <從自己的手牌棄1張具有FLIP的餅乾卡> 選擇最多1個對手的餅乾。對它造成1點傷害。,[Y][Y],,2,,
BS11-027,,<[Y][Y]> 在這個回合中，對手的所有餅乾攻擊力-1點。然後，選擇最多1個對手的餅乾。在這個回合中，它的攻擊所需費用增加[W]1點。,,,,,
BS11-028,,<[Y]> 將這張牌放置到場景區。\n【啟動】 <將這張牌改為疲勞狀態> <將1個自己的[Y]餅乾最上方的1張HP卡放置到棄牌區> 如果自己的手牌為6張或更少，則從牌庫抽最多1張牌。,,,,,
BS11-029,,<[Y]> 選擇最多1個對手的餅乾。在這個回合中，它的攻擊傷害-1點。然後，<[W]> 如果自己的戰鬥區有[千年古樹餅乾]或[Ancient]餅乾，則選擇最多1個自己的餅乾。它獲得HP+1點。,,,,,
BS11-030,,<[Y]> 如果自己的休息區LV總和達到3或以上，則選擇最多1個剩餘HP為3點或以下自己的餅乾。它獲得HP+1點。,,,,,
BS11-031,,<[Y]> 如果自己的休息區有4個以上的餅乾，則選擇最多1個對手的餅乾。在對手的下一回合結束前，對手必須棄2張手牌才能發動它的【啟動】。,,,,,
BS11-032,,這個技能可以在自己的回合結束時發動。在這個回合中，如果曾將LV.3的餅乾從自己的休息區放置到戰鬥區，則將這個餅乾放置到棄牌區。,[Y],,1,然後，<從自己的戰鬥區將另一個[Y]餅乾放置到休息區> 從牌庫抽最多1張牌。,
BS11-033,,,[Y],,1,然後，在這個回合中，如果自己的餅乾曾獲得過HP，<將這個餅乾放置到棄牌區> 則從牌庫抽最多1張牌。,
BS11-034,,如果這個餅乾在自己的休息區，<從手牌選擇LV總和為3的餅乾並展示它們> 將這個餅乾放置到戰鬥區。然後，將展示的餅乾放置到休息區。,[Y][W][W],,3,然後，<[W]> 自己的休息區中每有1個LV.2或以上的[Ancient]餅乾，便再對它造成1點傷害。,
BS11-035,,【登場時】 <[Y][Y]> <從自己的手牌將1個餅乾放置到休息區> 從自己的休息區將最多1個[Y]且為LV.2或以下的餅乾移回手牌。,[Y][Y][Y],,3,然後，<[Y]> <從自己的手牌棄1張具有FLIP的餅乾卡> 再對它造成2點傷害。,
BS11-036,,【啟動】 【1回合1次】 如果自己的戰鬥區沒有另一個 [永恆糖餅乾]，則選擇最多1個對手的餅乾。在對手的下一回合結束前，它的攻擊所需費用增加[W]1點。,[Y][Y][Y],,3,然後，如果這個餅乾剩餘HP為3點或以下，則這個餅乾獲得HP+1點。,
BS11-037,,,[W][W][W],,4,,
BS11-038,,【啟動】 【1回合1次】 如果自己的戰鬥區有[陽光麝香葡萄餅乾]，則從自己的支援區選擇最多1張牌改為活躍狀態。,[G][G],,2,,
BS11-039,,,[G][G],,2,,<棄1張手牌> 以這張牌為HP卡的餅乾獲得HP+1點。
BS11-040,,,[G][G][G],,3,,從牌庫抽最多1張牌。
BS11-041,,【啟動】 【1回合1次】 <從自己的支援區將1張[G]牌移回手牌> 自己的所有餅乾分別獲得HP+1點。,[G][G][G],,3,,
BS11-042,,【登場時】 從自己的支援區選擇最多1張牌改為活躍狀態。,[G][G][W],,2,,
BS11-043,,,[W],,1,,
BS11-044,,如果自己的支援區有7張或更多的牌，則這個餅乾的攻擊傷害+1點。,[G][G][G],,2,,
BS11-045,,<[G]> 將這張牌放置到場景區。\n【啟動】 <[G][G]> <將這張牌改為疲勞狀態> 選擇最多2個自己的[G]餅乾。將它們改為活躍狀態。,,,,,
BS11-046,,<[G][G]> 選擇最多1個對手的餅乾。在這個回合中，它的攻擊傷害-2點。然後，如果自己支援區的牌比對手少2張或更多，則它的攻擊傷害再-1點。,,,,,
BS11-047,,<[G]> <從自己的支援區將1張牌移回手牌> 在這個回合中，對手餅乾的【登場時】全部變為「<[W]> 從自己的支援區將1張牌移回手牌」。,,,,,
BS11-048,,<[G]> 選擇最多1個對手的餅乾。在這個回合中，它的攻擊傷害-1點。然後，<[W]> 如果自己的戰鬥區有[風箭手餅乾]或[Ancient]餅乾，則從對手的支援區選擇最多1張牌改為疲勞狀態。,,,,,
BS11-049,,<[G]> 從自己的棄牌區將最多1個 [風箭手餅乾] 放置到戰鬥區。,,,,,
BS11-050,,,[G],,1,然後，如果自己支援區的牌比對手少，<[G]> <將這個餅乾放置到棄牌區> 從自己的牌庫頂將1張牌以疲勞狀態放置到支援區。,
BS11-051,,,[G][G][G],,3,然後，如果自己的支援區有7張或更多的牌，且對手的餅乾被這個餅乾攻擊而暈倒，則從自己的支援區選擇最多2張牌改為活躍狀態。,
BS11-052,,,[G][G][G],,2,然後，<從自己的手牌棄1張[G]道具卡> 選擇最多1個對手的餅乾。對它造成1點傷害。然後，如果自己的手牌為5張或更少，則從牌庫抽最多2張牌。,
BS11-053,,【啟動】 【1回合1次】 <[G]> 將對手所有剩餘HP為5或以上的餅乾最上方的1張HP卡分別放置到對手的棄牌區。,[G][G][G],,3,然後，如果自己支援區的牌比對手少，<將這個餅乾放置到棄牌區> 從自己的牌庫頂將1張牌以疲勞狀態放置到支援區。,
BS11-054,,【登場時】 選擇1個對手的餅乾。在對手的下一回合結束前，對手必須棄2張手牌才能使它發動攻擊。,[B][B][B],,3,,
BS11-055,,,[W][W][W],,4,,
BS11-056,,【啟動】 【1回合1次】 如果自己的戰鬥區有[奶油蘇打餅乾]，則從牌庫抽最多1張牌。,[B][B],,2,,
BS11-057,,,[B][B][B],,3,,從牌庫抽最多1張牌。
BS11-058,,【1回合1次】 當對手的餅乾攻擊時，<棄2張手牌> 選擇最多1個自己的餅乾。它獲得HP+1點。,[B][B][W],,2,,
BS11-059,,,[B][B],,2,,<棄1張手牌> 以這張牌為HP卡的餅乾獲得HP+1點。
BS11-060,,,[W],,1,,
BS11-061,,【啟動】 【1回合1次】 <[B][B]> 選擇最多1個對手的餅乾。將它最上方的1張HP卡放置到對手牌庫的最下方。,[B][B],,1,,
BS11-062,,<[B][B]> 將這張牌放置到場景區。\n【啟動】 <將這張牌放置到棄牌區> 查看對手所有的手牌。,,,,,
BS11-063,,<[B]> 選擇最多1個對手的餅乾。在這個回合中，它的攻擊傷害-1點。然後，如果自己的戰鬥區有[海妖精餅乾]或[Ancient]餅乾，則從牌庫抽最多1張牌。,,,,,
BS11-064,,<[B]> <棄1張手牌> 在這個回合中，對手餅乾的【登場時】全部變為「<[W]> 從牌庫抽最多1張牌」。,,,,,
BS11-065,,<[B][B]> <棄1張手牌> 從雙方的戰鬥區選擇最多1個LV.2或以下的餅乾。將它放回其擁有者牌庫的最下方。,,,,,
BS11-066,,<[B]> 選擇最多1個對手的餅乾。在這個回合中，它的攻擊傷害-1點。然後，從對手的牌庫頂查看1張牌，並放回牌庫最上方或最下方。,,,,,
BS11-067,,,[B][B],,2,然後，<[B]> <將這個餅乾放回牌庫最下方> 從牌庫抽1張牌，並從自己的手牌將1張牌放回牌庫最上方。,
BS11-068,,當這個餅乾暈倒時，<[B]> 選擇最多1個對手的餅乾。將它最上方的1張HP卡放置到對手牌庫的最下方。,[B][B],,2,,
BS11-069,,【1回合1次】 這個技能可以在對手的餅乾攻擊時發動。如果自己的手牌為5張或更少，則從牌庫抽最多2張牌，並從自己的手牌將1張牌放回牌庫最上方。,[B][B][B],,3,,
BS11-070,,【登場時】 <從自己的手牌棄1張[Ancient]餅乾卡> 從牌庫抽最多2張牌。,[B][W][W],,3,然後，從自己的戰鬥區將最多1個LV.2或以下的另一個餅乾放回牌庫最上方或最下方。,
BS11-071,,,[B][B][B],,3,然後，<[W]> <棄1張手牌> 從自己的額外牌組將1個[黑影牛奶餅乾]放置到棄牌區。然後，發動它的【登場時】或【啟動】。,
BS11-072,,【1回合1次】 <[P]> 如果自己的棄牌區有15張或更多的牌，則選擇最多1個對手的餅乾。對它造成1點傷害。,[P][P][P][W],,3,,
BS11-073,,,[W][W][W],,4,,
BS11-074,,,[W],,1,,
BS11-075,,,[P][P][P],,3,,從牌庫抽最多1張牌。
BS11-076,,,[P][P],,2,,<棄1張手牌> 以這張牌為HP卡的餅乾獲得HP+1點。
BS11-077,,如果自己的棄牌區有15張或更多的牌，則自己的[黑巧克力餅乾]攻擊傷害+1點。,[P][P],,2,,
BS11-078,,,[P][P][P],,3,然後，如果對手的棄牌區有15張或更多的牌，<[P]> 則選擇最多1個對手的餅乾。將它最上方的1張HP卡放置到棄牌區。,
BS11-079,,【登場時】 <棄2張手牌> 從自己的棄牌區將最多1個[P]餅乾放置到戰鬥區。,[P][P],,1,,
BS11-080,,<[P][P]> 如果你在本場遊戲中曾重整過2次或以上，則從牌庫抽1張牌，選擇最多1個對手的餅乾。對它造成2點傷害。,,,,,
BS11-081,,<[P][P]> 雙方分別將自己的棄牌區所有的牌洗回牌庫。,,,,,
BS11-082,,<[P]> 選擇最多1個對手的餅乾。在這個回合中，它的攻擊傷害-1點。然後，如果自己的戰鬥區有[月光魔法師餅乾]或[Ancient]餅乾，則對手將1張手牌放置到棄牌區。,,,,,
BS11-083,,<[P]> 將這張牌放置到場景區。\n【啟動】 <將這張牌放置到棄牌區> 如果你在本場遊戲中曾重整過，則在這個回合中，對手餅乾的【登場時】全部變為「<[W]> 對手將1張手牌放置到棄牌區」。,,,,,
BS11-084,,<[P]> 選擇最多1個對手的餅乾。在這個回合中，它的攻擊傷害-1點。然後，如果你在本場遊戲中曾重整過，則從牌庫抽最多1張牌。,,,,,
BS11-085,,【啟動】 <[P]> <將這個餅乾放置到棄牌區> 從自己的戰鬥區將最多1個[P]且為LV.2或以下的餅乾放置到棄牌區。,[P][P],,1,,
BS11-086,,,[P][P],,2,然後，從自己的棄牌區將最多1個 [黑可可餅乾] 放置到戰鬥區。,
BS11-087,,當這個餅乾從棄牌區被放置到戰鬥區時，這個餅乾獲得HP+2點。,[P][W][W],,3,然後，如果自己的戰鬥區有[Ancient]餅乾或自己的棄牌區有15張或更多的牌，則從對手的手牌隨機抽1張牌，將它放置到棄牌區。,
BS11-088,,【登場時】 <從自己的戰鬥區將1個[P]且為LV.1的餅乾放置到棄牌區> 從自己的棄牌區將最多1個[P]且為LV.2或以上的餅乾移回手牌。,[P][P][P],,2,然後，如果對手的棄牌區有15張或更多的牌，則選擇最多1個對手的餅乾。對它造成1點傷害。,
BS11-089,,【登場時】 <從自己的牌庫頂將5張牌放置到棄牌區> 從牌庫抽2張牌，並棄1張牌。然後，如果你在本場遊戲中曾重整過，則這個餅乾獲得HP+1點。,[P][P][P],,3,然後，如果你在本場遊戲中曾重整過，則對對手的所有餅乾分別造成1點傷害。,
BS11-090,,【啟動】 <使這個餅乾暈倒> 從自己的額外牌組將[命運大天使]放置到戰鬥區，無視其登場條件。然後，它獲得HP+3點。,[W][W][W],,3,,
BS11-091,,【額外】 如果雙方的休息區LV總和皆達到6或以上，且雙方的手牌皆為3張或更少，則可以將這張牌放置到戰鬥區。,[W][W][W][W],,5,,
BS11-092,,【啟動】 【1回合1次】 在這個回合中，將這個餅乾在戰鬥區時的LV.設定為1。,[K][K][K],,2,,
BS11-093,,,[K],,1,,<棄1張手牌> 以這張牌為HP卡的餅乾獲得HP+1點。
BS11-094,,【阻擋】 <[K]> (當對手的餅乾攻擊時，你可以改為由這個餅乾承受該攻擊。),[K][W],,1,,
BS11-095,,,[K][K],,2,,從牌庫抽最多1張牌。
BS11-096,,,[K][K],,2,,<棄1張手牌> 以這張牌為HP卡的餅乾獲得HP+1點。
BS11-097,,【啟動】 【1回合1次】 <[K]> <棄1張手牌> 如果自己的戰鬥區有具有【特殊登場】的餅乾，則從對手的戰鬥區選擇最多1個沒有【技能】且為LV.1的餅乾。使它暈倒。,[K][K],,1,,
BS11-098,,【啟動】 【1回合1次】 <[K]> 如果自己的戰鬥區有具有【特殊登場】的餅乾，則選擇最多1個對手的餅乾。對它造成1點傷害。,[K],,1,,
BS11-099,,【啟動】 如果自己的戰鬥區有具有【特殊登場】的餅乾，則將這個餅乾放置到棄牌區。,[K][K],,2,,
BS11-100,,,[K],,1,,從牌庫抽最多1張牌。
BS11-101,,,[K],,1,,<棄1張手牌> 以這張牌為HP卡的餅乾獲得HP+1點。
BS11-102,,,[W][W],,2,,
BS11-103,,【登場時】 如果自己的手牌為5張或更少，則從自己的棄牌區將最多1個具有【特殊登場】的餅乾移回手牌。,[K],,1,,
BS11-104,,當這個餅乾暈倒時，從自己的牌庫頂查看3張牌，從其中選擇最多1張[K]牌，將它展示後移回手牌。然後，將未選擇的牌放置到棄牌區。,[K][K],,2,,
BS11-105,,,[K][K][K],,3,然後，如果自己的戰鬥區有具有【特殊登場】的餅乾，則選擇最多1個對手的餅乾。對它造成1點傷害。,
BS11-106,,如果自己的戰鬥區有LV.5或以上的餅乾或具有【特殊登場】的餅乾，則這張牌的發動所需費用減少[K]1點。\n<[K]> 選擇最多1個對手的餅乾。在這個回合中，它的攻擊傷害-1點。,,,,,
BS11-107,,<[K][K]> 如果自己戰鬥區的餅乾LV總和達到5或以上，則選擇最多1個對手的餅乾。對它造成2點傷害。,,,,,
BS11-108,,<[K]> 將這張牌放置到場景區。\n【啟動】 <將這張牌改為疲勞狀態> 在這個回合中，如果曾將具有【特殊登場】的餅乾放置到戰鬥區，則從牌庫抽最多1張牌，並棄1張牌。,,,,,
BS11-109,,<[K]> 從自己的牌庫頂查看5張牌，從其中選擇最多1張具有【特殊登場】的餅乾，將它展示後移回手牌。然後，將未選擇的牌放置到棄牌區。,,,,,
BS11-110,,<[K]> 選擇最多1個對手的餅乾。在這個回合中，它的攻擊傷害-1點。然後，如果自己的戰鬥區有LV.5或以上的餅乾或具有【特殊登場】的餅乾，則它的攻擊傷害再-1點。,,,,,
BS11-111,,【特殊登場】 從自己的戰鬥區將1個[K]且為LV.1的餅乾放置到棄牌區。\n【登場時】 <棄1張手牌> 選擇最多1個對手的餅乾。對它造成1點傷害。,[K][K],,2,,
BS11-112,,【特殊登場】 從自己的戰鬥區將1個[K]且為LV.1的餅乾放置到棄牌區。\n【登場時】 如果自己的手牌為5張或更少，則從自己的棄牌區將最多1個[K]餅乾移回手牌。,[K][K][K],,3,然後，<棄1張手牌> 在這個回合中，對手無法發動LV.2或以上餅乾的【登場時】效果。,
BS11-113,,【特殊登場】 從自己的戰鬥區將1個[K]且為LV.1的餅乾放置到棄牌區。\n【登場時】 如果自己的手牌為5張或更少，則從牌庫抽最多2張牌。,[K][K][K],,3,然後，<棄1張手牌> 這個餅乾獲得HP+1點。,
BS11-114,,【登場時】 <從自己的手牌棄1張[K]牌> 如果自己的手牌為5張或更少，則從牌庫抽最多2張牌。,[K],,1,然後，<棄1張手牌> 從自己的棄牌區將最多1個[暗黑魔女餅乾]移回手牌。,
BS11-115,,【特殊登場】 從自己的戰鬥區將2個[K]且具有【特殊登場】的LV.2餅乾放置到棄牌區。\n【登場時】 如果對手的支援區有4張或更多的牌，則對對手的所有餅乾分別造成1點傷害。,[K][K][K],,4,然後，<[K][K]> 選擇最多1個對手的餅乾。對它造成2點傷害。,
BS11-116,,【額外】 如果自己的休息區LV總和達到7或以上，且自己的場景區有[暗黑魔女的城堡]，則可以讓具有特殊登場且為LV.3的[暗黑魔女餅乾] 【覺醒】。\n對手無法使用效果將這個餅乾移出戰鬥區。,[K][K][K][K],,7,,
