BS6-001,Blue Lily Cookie,蘭花餅乾
BS6-053,Cherry Ball Cookie,山櫻桃餅乾
BS6-054,Orange Cookie,柳橙餅乾
BS6-055,Grapefruit Cookie,葡萄柚餅乾
BS6-056,Cappuccino Cookie,卡布奇諾餅乾
BS6-057,Coffee Candy Cookie,咖啡糖餅乾
BS6-058,Kiwi Cookie,奇異果餅乾
BS6-059,Apple Cookie,青蘋果餅乾
BS6-060,Pistachio Cookie,開心果餅乾
BS6-061,Walnut Cookie,核桃餅乾
BS6-062,Time Rend Scissors,時空混沌裁剪刀
BS6-063,Into a Time Pocket…,時間的坑洞
BS6-064,Broken Central Clock,壞掉的大時鐘
BS6-065,Marble Bread Cookie,大理石吐司餅乾
BS6-066,Maple Taffy Cookie,楓糖太妃糖餅乾
BS6-067,Vampire Cookie,吸血鬼餅乾
BS6-068,Blackberry Cookie,黑莓餅乾
BS6-069,Sandwich Cookie,三明治餅乾
BS6-070,Salt Cookie,玫瑰鹽餅乾
BS6-071,Soda Cookie,汽水餅乾
BS6-072,Chocolate Bonbon Cookie,巧克力球餅乾
BS6-073,Schneeball Cookie,糖霜雪球餅乾
BS6-074,String Gummy Cookie,筆管軟糖餅乾
BS6-075,Onion Cookie,洋蔥餅乾
BS6-076,Fairy Cookie,妖精餅乾
BS6-077,Cheerleader Cookie,啦啦隊餅乾
BS6-078,Coffee Cookie,咖啡餅乾
BS6-079,Croissant Cookie,可頌麵包餅乾
BS6-080,Adventurer Cookie,探險家餅乾
BS6-081,Truffle Cookie,松露餅乾
BS6-082,Popcorn Cookie,爆米花餅乾
BS6-083,Skating Queen Cookie,溜冰女王餅乾
BS6-084,Time Manipulator,時間控制器
BS6-085,Destruction of a Pastless Future,棄息未來的毀滅
BS6-086,Messy TBD Director's Office,凌亂的時間管理局局室
BS6-087,Peeled Carrot Cookie,去皮胡蘿蔔餅乾
BS6-088,Dr. Wasabi Cookie,芥末博士餅乾
BS6-089,Mustard Cookie,黃芥末醬餅乾
BS6-090,Candlelight Cookie,蜜蠟餅乾
BS6-091,Schneeball Cookie,糖霜雪球餅乾
BS6-092,String Gummy Cookie,筆管軟糖餅乾
BS6-093,Timekeeper Cookie,超時空餅乾
BS6-094,Half-Avocado Cookie,半顆酪梨餅乾
BS6-095,Wild Strawberry Cookie,野草莓餅乾
BS6-096,Cherry Cookie,櫻桃餅乾
BS6-097,Toothpaste Cookie,巧克力牙膏餅乾
BS6-098,Currant Cream Cookie,黑醋栗奶油餅乾
BS6-099,Crowberry Cookie,烏莓餅乾
BS6-100,Croissant Cookie,可頌麵包餅乾
BS6-101,Twizzly Gummy Cookie,扭扭糖餅乾
BS6-102,Pastel Meringue Cookie,粉彩蛋白霜餅乾
BS6-103,White Ghost Cookie,白帝錦餅乾
BS6-104,Black Garlic Cookie,黑蒜頭餅乾
BS6-105,Butterfly Key Relic,蝴蝶發條文物
BS6-106,Peak Engineer Performance,最厲害的技師
BS6-107,TBD Machine Room,時間管理局機房
