P-033,Red,Cookie,_,P,A,3,4,_,_,3,4,,,,
P-034,Yellow,Cookie,D,P,A,1,1,_,_,1,1,,,,
P-035,Blue,Cookie,_,P,A,2,3,A,_,2,1,,,,
P-036,Red,Cookie,_,P,A,3,5,O,_,3,3,3,5,3,3
P-037,Yellow,Cookie,D,P,A,2,2,_,_,2,2,,,,
P-038,Green,Cookie,_,P,A,1,2,_,_,2,2,,,,
P-039,Blue,Cookie,_,P,A,3,5,A,_,4,4,,,,
P-040,Purple,Cookie,H,P,A,3,3,_,_,3,3,,,,
P-041,Red,Cookie,_,P,A,1,1,OT,_,2,1,,,,
P-042,Red,Cookie,_,P,A,1,3,A,_,2,1,4,2,,
P-043,Yellow,Cookie,_,P,A,2,2,O,_,2,2,,,,
P-044,Green,Cookie,_,P,A,2,3,O,_,2,2,,,,
P-045,Blue,Cookie,_,P,A,1,3,O,_,2,1,,,,
P-046,Purple,Cookie,_,P,A,2,4,O,_,3,3,5,5,3,3
P-047,Red,Cookie,D,P,A,3,3,_,_,3,3,,,,
P-048,Yellow,Cookie,_,P,A,2,4,_,_,3,3,,,,
P-049,Purple,Cookie,_,P,A,1,2,_,_,2,2,,,,
P-050,Red,Cookie,_,P,A,1,3,AT,_,2,1,3,3,,
P-051,Red,Cookie,_,P,A,3,5,A,_,4,4,5,6,,
P-052,Yellow,Cookie,_,P,A,2,4,P,_,3,3,,,,
P-053,Green,Cookie,_,P,A,3,5,T,_,4,4,,,,
P-054,Blue,Cookie,_,P,A,2,4,O,_,3,3,,,,
P-055,Purple,Cookie,_,P,A,2,4,O,_,3,3,3,5,3,3
P-056,Red,Cookie,_,P,B,1,3,A,_,2,1,,,,
P-057,Yellow,Cookie,_,P,B,2,2,O,_,2,2,,,,
P-058,Green,Cookie,_,P,B,2,2,P,_,2,1,,,,
P-059,Green,Cookie,_,P,B,1,2,P,_,2,2,,,,
P-060,Blue,Cookie,_,P,B,2,1,A,_,2,2,4,4,,
P-061,Purple,Cookie,_,P,B,1,2,T,_,2,1,,,,
P-062,Pure,Cookie,_,P,B,3,3,_,_,2,1,,,,
P-063,Blue,Cookie,D,P,B,3,3,_,_,3,3,,,,
P-064,Red,Cookie,_,P,B,1,3,T,_,2,1,2,2,,
P-065,Red,Cookie,_,P,B,3,5,P,_,3,3,3,4,,
P-066,Yellow,Cookie,_,P,B,2,3,O,_,1,1,,,,
P-067,Green,Cookie,_,P,B,1,3,P,_,2,1,2,2,,
P-068,Blue,Cookie,_,P,B,2,3,T,_,2,2,,,,
P-069,Purple,Cookie,_,P,B,1,2,P,_,1,1,,,,
P-070,Red,Cookie,_,P,B,1,3,A,Arena,2,1,2,2,,
P-071,Yellow,Cookie,_,P,B,1,3,A,Arena,2,1,,,,
P-072,Green,Cookie,_,P,B,2,2,O,Arena,2,2,,,,
P-073,Blue,Cookie,_,P,B,2,3,T,Arena,2,2,2,3,,
P-074,Blue,Cookie,_,P,B,1,2,A,Arena,2,2,,,,
P-075,Purple,Cookie,_,P,B,3,5,T,Arena,4,4,,,,
P-076,Blue,Cookie,_,P,B,1,2,_,_,2,2,,,,
P-077,Red,Cookie,H,P,B,2,2,_,_,2,2,,,,
P-078,Blue,Cookie,_,P,B,3,3,_,_,2,1,,,,
P-079,Red,Cookie,_,P,B,1,3,T,_,2,1,2,2,,
P-080,Red,Cookie,_,P,B,1,1,PY,_,2,1,2,2,2,1
P-081,Yellow,Cookie,H,P,B,1,1,_,_,1,1,,,,
P-082,Yellow,Trap,_,P,B,_,_,_,_,,,,,,
P-083,Green,Cookie,_,P,B,1,1,PY,_,2,1,,,,
P-084,Green,Item,_,P,B,_,_,_,_,,,,,,
P-085,Blue,Cookie,D,P,B,1,1,_,_,1,1,,,,
P-086,Purple,Cookie,_,P,B,1,1,PY,_,2,1,,,,
P-087,Purple,Cookie,_,P,B,3,3,_,_,2,1,,,,
P-088,Green,Cookie,_,P,C,2,4,T,_,3,3,,,,
P-089,Green,Cookie,_,P,B,2,5,_,_,4,3,,,,
P-090,,,,,,,,,,,,,,,
P-091,Blue,Cookie,_,P,B,2,5,_,_,4,3,,,,
P-092,Blue,Cookie,H,P,B,2,3,_,_,3,3,,,,
P-093,Red,Cookie,_,P,C,2,4,A,_,3,3,,,,
P-094,Yellow,Cookie,_,P,C,1,2,T,_,2,2,,,,
P-095,Green,Cookie,_,P,C,2,4,A,_,3,3,,,,
P-096,Red,Cookie,_,P,C,1,1,O,_,2,2,2,3,2,2
P-097,Yellow,Cookie,_,P,C,1,2,P,_,2,2,,,,
P-098,Green,Cookie,_,P,C,1,2,A,_,2,2,,,,
P-099,Green,Cookie,D,P,C,1,1,_,_,1,1,,,,
P-100,Blue,Cookie,H,P,C,1,1,_,_,1,1,,,,
P-101,Blue,Cookie,_,P,C,1,2,T,_,2,2,,,,
P-102,Purple,Cookie,_,P,C,1,2,O,_,1,1,1,2,,
P-103,Red,Cookie,_,P,C,2,4,O,Arena,3,3,4,4,,
P-104,Green,Cookie,_,P,C,2,4,P,Arena,3,3,3,4,,
P-105,Blue,Cookie,_,P,C,2,4,A,Arena,3,2,3,4,,
P-106,Red,Cookie,_,P,C,1,2,A,Arena,2,2,2,3,,
P-107,Red,Cookie,H,P,C,2,3,_,Arena,3,3,,,,
P-108,Red,Cookie,_,P,C,1,2,P,Arena,1,1,1,3,1,1
P-109,Yellow,Cookie,_,P,C,2,4,A,Arena,3,3,4,5,,
P-110,Yellow,Cookie,_,P,C,1,2,A,Arena,2,2,2,4,,
P-111,Yellow,Cookie,_,P,C,1,2,T,Arena,2,2,2,3,,
P-112,Yellow,Cookie,H,P,C,2,3,_,Arena,3,3,,,,
P-113,Green,Cookie,H,P,C,2,3,_,Arena,3,3,,,,
P-114,Green,Cookie,_,P,C,2,4,P,Arena,3,2,3,3,,
P-115,Green,Cookie,_,P,C,1,3,P,Arena,2,1,,,,
P-116,Blue,Cookie,_,P,C,1,2,O,Arena,1,1,,,,
P-117,Blue,Cookie,_,P,C,2,3,T,Arena,2,2,,,,
P-118,Purple,Cookie,H,P,C,2,3,_,Arena,3,3,,,,
P-119,Purple,Cookie,_,P,C,2,4,A,Arena,3,2,3,3,,
P-120,Purple,Cookie,_,P,C,3,6,O,Arena,3,3,,,,
P-121,Purple,Cookie,_,P,C,1,2,a,Arena,2,1,2,2,,
P-122,Pure,Stage,_,P,C,_,_,_,_,,,,,,
P-123,Blue,Cookie,_,P,C,2,4,T,_,3,3,,,,
P-124,Purple,Cookie,_,P,C,2,4,O,_,3,3,,,,
P-125,Blue,Stage,_,P,C,_,_,_,_,,,,,,
P-126,,,,,,,,,,,,,,,
P-127,Red,Cookie,_,P,C,2,5,T,_,3,2,3,4,,
P-128,Red,Cookie,_,P,C,1,1,A,_,1,1,,,,
P-129,Yellow,Cookie,_,P,C,2,4,AT,_,3,3,3,4,,
P-130,Yellow,Cookie,_,P,C,1,2,T,_,2,2,2,3,,
P-131,Green,Cookie,_,P,C,1,2,A,_,2,2,,,,
P-132,Green,Cookie,_,P,C,2,3,a,_,2,2,,,,
P-133,Blue,Cookie,_,P,C,3,5,A,_,3,3,,,,
P-134,Blue,Cookie,_,P,C,2,4,T,_,3,3,3,4,,
P-135,Purple,Cookie,_,P,C,2,4,AT,_,3,3,,,,
P-136,Purple,Cookie,_,P,C,1,2,P,_,2,2,,,,
P-137,Red,Cookie,_,P,C,2,4,A,_,3,3,3,4,,
P-138,Red,Cookie,_,P,C,1,2,O,_,1,1,,,,
P-139,Yellow,Cookie,_,P,C,1,2,O,_,2,2,,,,
P-140,Yellow,Cookie,_,P,C,3,5,A,_,3,3,,,,
P-141,Green,Cookie,_,P,C,2,5,A,_,3,2,3,3,,
P-142,Green,Cookie,_,P,C,1,2,T,_,2,2,,,,
P-143,Blue,Cookie,_,P,C,3,5,OT,_,3,3,3,4,,
P-144,Blue,Cookie,_,P,C,2,3,O,_,2,2,,,,
P-145,Purple,Cookie,_,P,C,1,3,P,_,2,1,,,,
P-146,Purple,Cookie,_,P,C,2,2,O,_,2,2,,,,
P-147,Black,Cookie,_,P,C,2,4,SO,_,3,3,,,,
P-148,,,,,,,,,,,,,,,
P-149,,,,,,,,,,,,,,,
P-150,,,,,,,,,,,,,,,
P-151,Red,Cookie,D,P,C,1,1,_,_,2,2,,,,
P-152,Yellow,Cookie,D,P,C,1,1,_,_,2,2,,,,
P-153,Green,Cookie,D,P,C,1,1,_,_,2,2,,,,
P-154,Blue,Cookie,D,P,C,1,1,_,_,2,2,,,,
P-155,Purple,Cookie,D,P,C,1,1,_,_,2,2,,,,
P-156,Black,Cookie,D,P,C,1,1,_,_,2,2,,,,
P-157,Red,Cookie,H,P,C,1,1,_,_,2,2,,,,
P-158,Yellow,Cookie,H,P,C,1,1,_,_,2,2,,,,
P-159,Green,Cookie,H,P,C,1,1,_,_,2,2,,,,
P-160,Blue,Cookie,H,P,C,1,1,_,_,2,2,,,,
P-161,Purple,Cookie,H,P,C,1,1,_,_,2,2,,,,
P-162,Black,Cookie,H,P,C,1,1,_,_,2,2,,,,
